id,link_key
1,Encode
2,categorical
3,features
4,as
5,a
6,one-hot
7,numeric
8,array
9,_&amp;amp;#013_&amp;amp;#013The
10,input
11,to
12,this
13,transformer
14,should
15,be
16,an
17,array-like
18,of
19,integers
20,or
21,strings
22,denoting
23,the
24,values
25,taken
26,on
27,by
28,_&amp;amp;#x28;discrete_&amp;amp;#x29;
29,are
30,encoded
31,using
32,_&amp;amp;#x28;aka
33,_&amp;amp;#x2018;one-of-K_&amp;amp;#x2019;
34,_&amp;amp;#x2018;dummy_&amp;amp;#x2019;_&amp;amp;#x29;
35,encoding
36,scheme
37,creates
38,binary
39,column
40,for
41,each
42,category
43,and
44,returns
45,sparse
46,matrix
47,dense
48,_&amp;amp;#x28;depending
49,sparse_output
50,parameter_&amp;amp;#x29;_&amp;amp;#013_&amp;amp;#013By
51,default
52,encoder
53,derives
54,categories
55,based
56,unique
57,in
58,feature
59,Alternatively
60,you
61,can
62,also
63,specify
64,manually
65,_&amp;amp;#013_&amp;amp;#013This
66,is
67,needed
68,feeding
69,data
70,many
71,scikit-learn
72,estimators
73,notably
74,linear
75,models
76,SVMs
77,with
78,standard
79,kernels
80,_&amp;amp;#013_&amp;amp;#013Note
81,y
82,labels
83,use
84,LabelBinarizer
85,instead
86,“We
87,have
88,big
89,bill
90,here
91,because
92,we
93,needs
94,our
95,country
96,_&amp;amp;#x201d;
97,outgoing
98,House
99,Speaker
100,Nancy
101,Pelosi
102,said
103,floor
104,“At
105,same
106,time
107,—
108,please
109,put
110,penny
111,old
112,man_&amp;amp;#x2019;s
113,hat
114,address
115,America_&amp;amp;#x2019;s
116,working
117,families
118,special
119,focus
120,children
121,That_&amp;amp;apos;s
122,%
123,_&amp;amp;quot;
124,ask_&amp;amp;apos;ed
